Datum von;Datum bis;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.01.2023 00:00;01.01.2023 00:15;9.673,00;1.842,50;482,00
01.01.2023 00:15;01.01.2023 00:30;9.593,50;1.691,50;469,25
01.01.2023 00:30;01.01.2023 00:45;9.562,00;1.442,50;546,25
01.01.2023 00:45;01.01.2023 01:00;9.517,50;1.598,50;525,50
01.01.2023 01:00;01.01.2023 01:15;9.433,25;1.325,50;192,75
01.01.2023 01:15;01.01.2023 01:30;9.408,50;1.177,00;329,50
01.01.2023 01:30;01.01.2023 01:45;9.511,00;1.307,25;516,25
01.01.2023 01:45;01.01.2023 02:00;9.424,50;1.075,50;644,00
01.01.2023 02:00;01.01.2023 02:15;9.319,25;1.080,00;684,00
01.01.2023 02:15;01.01.2023 02:30;9.266,75;877,75;781,00
01.01.2023 02:30;01.01.2023 02:45;9.211,75;1.012,25;855,50
01.01.2023 02:45;01.01.2023 03:00;9.142,00;860,25;967,00
01.01.2023 03:00;01.01.2023 03:15;9.092,75;1.260,25;970,75
01.01.2023 03:15;01.01.2023 03:30;8.964,50;1.310,50;1.025,25
01.01.2023 03:30;01.01.2023 03:45;8.934,00;1.400,00;1.018,75
01.01.2023 03:45;01.01.2023 04:00;8.941,25;1.489,00;1.001,00
01.01.2023 04:00;01.01.2023 04:15;8.906,25;1.345,75;992,75
01.01.2023 04:15;01.01.2023 04:30;8.855,00;1.358,00;1.003,00
01.01.2023 04:30;01.01.2023 04:45;8.849,75;1.416,25;1.027,25
01.01.2023 04:45;01.01.2023 05:00;8.875,25;1.463,75;1.000,50
01.01.2023 05:00;01.01.2023 05:15;8.913,75;1.235,00;1.158,75
01.01.2023 05:15;01.01.2023 05:30;8.913,25;1.369,75;1.123,75
01.01.2023 05:30;01.01.2023 05:45;8.931,50;1.478,00;1.064,75
01.01.2023 05:45;01.01.2023 06:00;8.888,75;1.428,00;1.078,25
01.01.2023 06:00;01.01.2023 06:15;8.799,00;1.258,75;1.211,75
01.01.2023 06:15;01.01.2023 06:30;8.848,00;1.375,75;1.229,25
01.01.2023 06:30;01.01.2023 06:45;8.788,00;1.327,00;1.203,00
01.01.2023 06:45;01.01.2023 07:00;8.796,75;1.377,75;1.184,75
01.01.2023 07:00;01.01.2023 07:15;8.958,50;1.252,00;1.025,50
01.01.2023 07:15;01.01.2023 07:30;9.015,25;1.370,75;947,75
01.01.2023 07:30;01.01.2023 07:45;9.069,50;1.403,50;885,00
01.01.2023 07:45;01.01.2023 08:00;9.129,00;1.542,50;833,75
01.01.2023 08:00;01.01.2023 08:15;9.061,00;1.576,00;804,00
01.01.2023 08:15;01.01.2023 08:30;9.132,50;1.640,25;839,00
01.01.2023 08:30;01.01.2023 08:45;9.264,25;1.770,00;709,00
01.01.2023 08:45;01.01.2023 09:00;9.371,50;1.791,50;671,25
01.01.2023 09:00;01.01.2023 09:15;9.521,00;1.769,00;467,00
01.01.2023 09:15;01.01.2023 09:30;9.746,25;1.798,50;484,75
01.01.2023 09:30;01.01.2023 09:45;9.914,25;1.852,75;453,50
01.01.2023 09:45;01.01.2023 10:00;10.045,00;1.834,75;550,25
01.01.2023 10:00;01.01.2023 10:15;9.976,50;1.547,00;463,75
01.01.2023 10:15;01.01.2023 10:30;10.147,00;1.658,25;462,00
01.01.2023 10:30;01.01.2023 10:45;10.359,00;1.838,25;444,50
01.01.2023 10:45;01.01.2023 11:00;10.523,00;1.970,75;425,00
01.01.2023 11:00;01.01.2023 11:15;10.653,25;2.028,50;408,50
01.01.2023 11:15;01.01.2023 11:30;10.903,75;2.151,75;311,50
01.01.2023 11:30;01.01.2023 11:45;11.061,25;2.155,75;296,50
01.01.2023 11:45;01.01.2023 12:00;11.084,75;2.146,75;287,25
01.01.2023 12:00;01.01.2023 12:15;11.088,50;2.342,50;311,50
01.01.2023 12:15;01.01.2023 12:30;11.113,50;2.555,25;279,50
01.01.2023 12:30;01.01.2023 12:45;11.049,50;2.624,25;250,00
01.01.2023 12:45;01.01.2023 13:00;10.954,25;2.569,50;322,75
01.01.2023 13:00;01.01.2023 13:15;10.986,00;2.590,75;489,00
01.01.2023 13:15;01.01.2023 13:30;10.931,75;2.720,00;462,50
01.01.2023 13:30;01.01.2023 13:45;10.885,50;2.966,50;323,75
01.01.2023 13:45;01.01.2023 14:00;10.818,50;3.103,75;316,00
01.01.2023 14:00;01.01.2023 14:15;10.809,25;2.528,25;613,75
01.01.2023 14:15;01.01.2023 14:30;10.780,50;2.575,00;531,75
01.01.2023 14:30;01.01.2023 14:45;10.841,25;2.999,75;365,00
01.01.2023 14:45;01.01.2023 15:00;10.800,50;3.072,75;166,75
01.01.2023 15:00;01.01.2023 15:15;10.912,75;3.052,00;433,50
01.01.2023 15:15;01.01.2023 15:30;10.878,50;3.041,25;366,00
01.01.2023 15:30;01.01.2023 15:45;10.937,25;3.307,50;92,75
01.01.2023 15:45;01.01.2023 16:00;10.963,25;3.575,75;34,25
01.01.2023 16:00;01.01.2023 16:15;11.154,50;4.008,75;43,75
01.01.2023 16:15;01.01.2023 16:30;11.304,75;4.348,25;68,25
01.01.2023 16:30;01.01.2023 16:45;11.484,75;4.647,25;44,75
01.01.2023 16:45;01.01.2023 17:00;11.724,75;5.006,50;21,00
01.01.2023 17:00;01.01.2023 17:15;12.039,75;5.424,00;24,50
01.01.2023 17:15;01.01.2023 17:30;12.141,50;5.553,50;21,00
01.01.2023 17:30;01.01.2023 17:45;12.244,00;5.667,50;22,50
01.01.2023 17:45;01.01.2023 18:00;12.306,75;5.719,50;18,50
01.01.2023 18:00;01.01.2023 18:15;12.323,50;5.814,50;46,00
01.01.2023 18:15;01.01.2023 18:30;12.276,75;5.840,50;51,25
01.01.2023 18:30;01.01.2023 18:45;12.197,25;5.783,75;56,00
01.01.2023 18:45;01.01.2023 19:00;12.084,50;5.722,00;41,00
01.01.2023 19:00;01.01.2023 19:15;12.071,75;5.764,50;82,25
01.01.2023 19:15;01.01.2023 19:30;11.934,50;5.606,75;121,25
01.01.2023 19:30;01.01.2023 19:45;11.820,75;5.523,25;81,50
01.01.2023 19:45;01.01.2023 20:00;11.641,50;5.402,25;87,25
01.01.2023 20:00;01.01.2023 20:15;11.509,75;5.254,25;30,50
01.01.2023 20:15;01.01.2023 20:30;11.323,00;5.056,75;46,25
01.01.2023 20:30;01.01.2023 20:45;11.119,25;4.844,50;128,75
01.01.2023 20:45;01.01.2023 21:00;10.931,50;4.573,75;284,75
01.01.2023 21:00;01.01.2023 21:15;10.926,25;4.398,75;50,50
01.01.2023 21:15;01.01.2023 21:30;10.829,50;4.394,50;63,25
01.01.2023 21:30;01.01.2023 21:45;10.755,75;4.426,75;127,00
01.01.2023 21:45;01.01.2023 22:00;10.711,25;4.474,75;193,00
01.01.2023 22:00;01.01.2023 22:15;10.812,75;4.730,00;60,00
01.01.2023 22:15;01.01.2023 22:30;10.671,00;4.731,00;46,75
01.01.2023 22:30;01.01.2023 22:45;10.509,75;4.680,00;40,50
01.01.2023 22:45;01.01.2023 23:00;10.284,50;4.512,50;86,00
01.01.2023 23:00;01.01.2023 23:15;10.119,50;4.358,75;57,75
01.01.2023 23:15;01.01.2023 23:30;9.861,25;4.107,75;114,50
01.01.2023 23:30;01.01.2023 23:45;9.647,25;3.883,50;253,50
01.01.2023 23:45;02.01.2023 00:00;9.464,75;3.778,75;460,00
02.01.2023 00:00;02.01.2023 00:15;9.372,50;3.799,75;535,00
02.01.2023 00:15;02.01.2023 00:30;9.296,75;3.850,50;710,00
02.01.2023 00:30;02.01.2023 00:45;9.121,75;3.835,75;838,50
02.01.2023 00:45;02.01.2023 01:00;8.998,75;3.819,00;891,25
02.01.2023 01:00;02.01.2023 01:15;8.915,50;3.696,25;775,50
02.01.2023 01:15;02.01.2023 01:30;8.822,50;3.558,75;921,00
02.01.2023 01:30;02.01.2023 01:45;8.821,00;3.602,75;967,00
02.01.2023 01:45;02.01.2023 02:00;8.864,75;3.698,00;1.001,50
02.01.2023 02:00;02.01.2023 02:15;8.844,75;3.449,25;823,50
02.01.2023 02:15;02.01.2023 02:30;8.764,50;3.189,00;919,00
02.01.2023 02:30;02.01.2023 02:45;8.801,75;3.211,25;995,75
02.01.2023 02:45;02.01.2023 03:00;8.873,25;3.262,75;1.059,75
02.01.2023 03:00;02.01.2023 03:15;8.949,25;3.251,50;1.060,00
02.01.2023 03:15;02.01.2023 03:30;8.966,00;3.139,75;1.183,25
02.01.2023 03:30;02.01.2023 03:45;9.022,50;3.099,50;1.169,50
02.01.2023 03:45;02.01.2023 04:00;9.120,75;3.106,25;1.203,50
02.01.2023 04:00;02.01.2023 04:15;9.237,25;3.043,25;1.025,75
02.01.2023 04:15;02.01.2023 04:30;9.367,25;3.090,00;1.034,75
02.01.2023 04:30;02.01.2023 04:45;9.516,00;3.160,50;1.107,00
02.01.2023 04:45;02.01.2023 05:00;9.675,50;3.158,00;1.184,75
02.01.2023 05:00;02.01.2023 05:15;9.875,00;3.368,25;1.263,75
02.01.2023 05:15;02.01.2023 05:30;10.052,00;3.484,25;1.334,00
02.01.2023 05:30;02.01.2023 05:45;10.296,00;3.603,25;1.161,50
02.01.2023 05:45;02.01.2023 06:00;10.676,00;3.805,75;841,25
02.01.2023 06:00;02.01.2023 06:15;11.251,00;4.188,00;675,50
02.01.2023 06:15;02.01.2023 06:30;11.612,25;4.414,50;789,50
02.01.2023 06:30;02.01.2023 06:45;11.974,00;4.725,00;732,75
02.01.2023 06:45;02.01.2023 07:00;12.232,25;4.912,25;441,50
02.01.2023 07:00;02.01.2023 07:15;12.604,25;5.172,25;354,25
02.01.2023 07:15;02.01.2023 07:30;12.913,50;5.410,25;257,50
02.01.2023 07:30;02.01.2023 07:45;13.261,25;5.619,75;228,25
02.01.2023 07:45;02.01.2023 08:00;13.538,25;5.672,00;161,50
02.01.2023 08:00;02.01.2023 08:15;13.888,50;5.934,75;248,25
02.01.2023 08:15;02.01.2023 08:30;14.007,50;5.974,25;220,25
02.01.2023 08:30;02.01.2023 08:45;14.152,75;5.909,00;184,50
02.01.2023 08:45;02.01.2023 09:00;14.182,25;5.796,00;255,50
02.01.2023 09:00;02.01.2023 09:15;14.293,75;5.687,50;106,25
02.01.2023 09:15;02.01.2023 09:30;14.251,75;5.529,50;156,25
02.01.2023 09:30;02.01.2023 09:45;14.379,00;5.591,50;177,50
02.01.2023 09:45;02.01.2023 10:00;14.520,25;5.649,50;215,50
02.01.2023 10:00;02.01.2023 10:15;14.644,25;5.734,50;69,50
02.01.2023 10:15;02.01.2023 10:30;14.753,75;5.706,75;102,00
02.01.2023 10:30;02.01.2023 10:45;14.875,00;5.840,75;107,75
02.01.2023 10:45;02.01.2023 11:00;14.968,00;5.891,25;40,75
02.01.2023 11:00;02.01.2023 11:15;14.949,50;5.687,75;2,50
02.01.2023 11:15;02.01.2023 11:30;15.137,25;5.771,00;5,75
02.01.2023 11:30;02.01.2023 11:45;15.211,75;5.859,00;21,75
02.01.2023 11:45;02.01.2023 12:00;15.356,00;5.982,25;33,50
02.01.2023 12:00;02.01.2023 12:15;15.431,75;5.994,50;36,00
02.01.2023 12:15;02.01.2023 12:30;15.380,75;6.020,25;48,25
02.01.2023 12:30;02.01.2023 12:45;15.420,25;6.110,00;171,00
02.01.2023 12:45;02.01.2023 13:00;15.339,00;6.086,00;152,00
02.01.2023 13:00;02.01.2023 13:15;15.238,00;6.003,25;87,75
02.01.2023 13:15;02.01.2023 13:30;15.133,75;6.087,50;118,75
02.01.2023 13:30;02.01.2023 13:45;15.102,25;6.233,75;123,25
02.01.2023 13:45;02.01.2023 14:00;14.974,00;6.223,75;100,25
02.01.2023 14:00;02.01.2023 14:15;14.833,25;6.165,00;229,50
02.01.2023 14:15;02.01.2023 14:30;14.777,75;6.185,00;146,00
02.01.2023 14:30;02.01.2023 14:45;14.808,50;6.432,25;44,25
02.01.2023 14:45;02.01.2023 15:00;14.768,75;6.669,25;26,25
02.01.2023 15:00;02.01.2023 15:15;14.872,75;7.052,25;40,75
02.01.2023 15:15;02.01.2023 15:30;14.756,25;7.165,75;40,00
02.01.2023 15:30;02.01.2023 15:45;14.684,50;7.228,00;72,25
02.01.2023 15:45;02.01.2023 16:00;14.700,50;7.270,50;30,75
02.01.2023 16:00;02.01.2023 16:15;14.795,00;7.436,50;74,75
02.01.2023 16:15;02.01.2023 16:30;14.918,00;7.741,75;37,00
02.01.2023 16:30;02.01.2023 16:45;15.000,00;7.842,25;59,00
02.01.2023 16:45;02.01.2023 17:00;15.172,50;8.046,00;28,50
02.01.2023 17:00;02.01.2023 17:15;15.311,25;8.166,25;13,50
02.01.2023 17:15;02.01.2023 17:30;15.283,25;8.107,50;26,75
02.01.2023 17:30;02.01.2023 17:45;15.256,50;8.015,75;60,75
02.01.2023 17:45;02.01.2023 18:00;15.243,00;7.889,00;132,75
02.01.2023 18:00;02.01.2023 18:15;15.268,50;7.932,50;59,50
02.01.2023 18:15;02.01.2023 18:30;15.184,75;7.893,75;44,25
02.01.2023 18:30;02.01.2023 18:45;15.105,00;7.841,50;58,00
02.01.2023 18:45;02.01.2023 19:00;15.092,00;7.769,75;85,75
02.01.2023 19:00;02.01.2023 19:15;15.038,25;7.714,75;38,75
02.01.2023 19:15;02.01.2023 19:30;15.001,00;7.763,75;35,50
02.01.2023 19:30;02.01.2023 19:45;14.847,25;7.677,00;44,25
02.01.2023 19:45;02.01.2023 20:00;14.697,50;7.638,75;46,25
02.01.2023 20:00;02.01.2023 20:15;14.421,50;7.431,00;40,75
02.01.2023 20:15;02.01.2023 20:30;14.103,50;7.107,50;151,75
02.01.2023 20:30;02.01.2023 20:45;13.834,50;6.873,50;200,00
02.01.2023 20:45;02.01.2023 21:00;13.641,50;6.656,50;347,00
02.01.2023 21:00;02.01.2023 21:15;13.555,75;6.692,25;73,50
02.01.2023 21:15;02.01.2023 21:30;13.382,00;6.633,00;81,75
02.01.2023 21:30;02.01.2023 21:45;13.204,25;6.568,50;158,00
02.01.2023 21:45;02.01.2023 22:00;13.012,25;6.466,75;214,50
02.01.2023 22:00;02.01.2023 22:15;12.843,75;6.420,50;22,25
02.01.2023 22:15;02.01.2023 22:30;12.671,50;6.281,00;45,00
02.01.2023 22:30;02.01.2023 22:45;12.451,00;6.097,00;36,00
