Uhrzeit;Relative Bedarf;Normierter Bedarf (Prozent);Anzahl Autos;Strombedarf (kWh)
00:00;0,37826087;0,011065384;14384,99924;92063,99513
00:15;0,337108223;0,009861533;12819,99256;82047,95237
00:30;0,294634445;0,008619034;11204,74417;71710,36268
00:45;0,25281411;0,007395651;9614,345756;61531,81284
01:00;0,212954104;0,006229613;8098,497269;51830,38252
01:15;0,190737051;0,005579691;7253,598112;46423,02792
01:30;0,171133769;0,00500623;6508,098856;41651,83268
01:45;0,151530487;0,004432769;5762,5996;36880,63744
02:00;0,130620319;0,003821077;4967,400393;31791,36252
02:15;0,115591136;0,003381424;4395,850963;28133,44617
02:30;0,100561953;0,00294177;3824,301534;24475,52982
02:45;0,086186213;0,002521232;3277,602079;20976,65331
03:00;0,07115703;0,002081579;2706,05265;17318,73696
03:15;0,067889817;0,001986002;2581,802774;16523,53775
03:30;0,065929489;0,001928656;2507,252848;16046,41823
03:45;0,063315718;0,001852195;2407,852947;15410,25886
04:00;0,060701947;0,001775733;2308,453046;14774,0995
04:15;0,060918069;0,001782055;2316,672035;14826,70102
04:30;0,061571512;0,001801171;2341,52201;14985,74086
04:45;0,061571512;0,001801171;2341,52201;14985,74086
05:00;0,062003757;0,001813815;2357,959987;15090,94392
05:15;0,058741618;0,001718387;2233,903121;14296,97997
05:30;0,057434733;0,001680156;2184,20317;13978,90029
05:45;0,054347826;0,001589854;2066,810235;13227,58551
06:00;0,052173913;0,00152626;1984,137826;12698,48209
06:15;0,052173913;0,00152626;1984,137826;12698,48209
06:30;0,052173913;0,00152626;1984,137826;12698,48209
06:45;0,052173913;0,00152626;1984,137826;12698,48209
07:00;0,052173913;0,00152626;1984,137826;12698,48209
07:15;0,062441077;0,001826608;2374,590974;15197,38223
07:30;0,072458841;0,002119661;2755,55959;17635,58138
07:45;0,081823161;0,002393599;3111,678232;19914,74068
08:00;0,093585131;0,002737675;3558,977786;22777,45783
08:15;0,106653985;0,003119983;4055,97729;25958,25465
08:30;0,121904366;0,003566107;4635,938717;29670,00779
08:45;0,135410541;0,003961207;5149,569208;32957,24293
09:00;0,153917985;0,004502611;5853,394493;37461,72475
09:15;0,194426359;0,005687615;7393,899946;47320,95965
09:30;0,232763358;0,0068091;8851,829494;56651,70876
09:45;0,272623364;0,007975137;10367,67798;66353,13908
10:00;0,312699494;0,009147497;11891,74546;76107,17093
10:15;0,331870531;0,009708313;12620,80674;80773,16312
10:30;0,35125769;0,010275452;13358,087;85491,75683
10:45;0,37238398;0,010893466;14161,5052;90633,63328
11:00;0,394163713;0,011530595;14989,77337;95934,54957
11:15;0,427494368;0,012505627;16257,31511;104046,8167
11:30;0,469304552;0,013728713;17847,32751;114222,8961
11:45;0,506771986;0,01482476;19272,18809;123342,0038
12:00;0,541188328;0,015831552;20581,01779;131718,5139
12:15;0,562103571;0,016443392;21376,41001;136809,024
12:30;0,581922975;0,017023176;22130,12825;141632,8208
12:45;0,601526257;0,017596637;22875,62751;146404,016
13:00;0,618520844;0,018093785;23521,91987;150540,2872
13:15;0,616781713;0,018042909;23455,78194;150117,0044
13:30;0,614167942;0,017966448;23356,38204;149480,8451
13:45;0,610900729;0,017870871;23232,13217;148685,6459
14:00;0,608286958;0,017794409;23132,73227;148049,4865
14:15;0,60175253;0,017603256;22884,23252;146459,0881
14:30;0,593911218;0,017373871;22586,03281;144550,61
14:45;0,586507225;0,01715728;22304,4641;142748,5702
15:00;0,579535477;0,016953333;22039,33336;141051,7335
15:15;0,580434783;0,016979641;22073,53331;141270,6132
15:30;0,578228592;0,016915103;21989,63341;140733,6538
15:45;0,578228592;0,016915103;21989,63341;140733,6538
16:00;0,579535477;0,016953333;22039,33336;141051,7335
16:15;0,583456134;0,017068026;22188,43321;142005,9725
16:30;0,588683676;0,017220948;22387,23301;143278,2913
16:45;0,593257775;0,017354756;22561,18284;144391,5702
17:00;0,601094012;0,017583992;22859,18953;146298,813
17:15;0,602622096;0,017628693;22917,30148;146670,7295
17:30;0,610026088;0,017845285;23198,87019;148472,7692
17:45;0,613946745;0,017959977;23347,97005;149427,0083
18:00;0,618958164;0,018106578;23538,55086;150646,7255
18:15;0,612207614;0,017909102;23281,83212;149003,7256
18:30;0,604366301;0,017679717;22983,63242;147095,2475
18:45;0,596308866;0,017444011;22677,21373;145134,1678
19:00;0,589337118;0,017240064;22412,08299;143437,3311
19:15;0,571040722;0,016704834;21716,28368;138984,2156
19:30;0,55143744;0,016131373;20970,78442;134213,0203
19:45;0,52987383;0,015500566;20150,73524;128964,7056
20:00;0,51092399;0,01494622;19430,08596;124352,5502
20:15;0,498945899;0,014595821;18974,56742;121437,2315
20:30;0,489144258;0,014309091;18601,81779;119051,6339
20:45;0,478473051;0,013996922;18195,9992;116454,3949
21:00;0,470410541;0,013761067;17889,3875;114492,08
21:15;0,462353106;0,013525361;17582,96881;112531,0004
21:30;0,454511793;0,013295976;17284,76911;110622,5223
21:45;0,447540045;0,01309203;17019,63837;108925,6855
22:00;0,439698732;0,012862645;16721,43866;107017,2075
22:15;0,43447119;0,012709722;16522,63886;105744,8887
22:30;0,429243649;0,012556799;16323,83906;104472,57
22:45;0,424016107;0,012403876;16125,03926;103200,2513
23:00;0,42173913;0,012337267;16038,44743;102646,0635
23:15;0,410869565;0,012019296;15625,08537;100000,5464
23:30;0,4;0,011701326;15211,72333;97355,02933
23:45;0,389130435;0,011383355;14798,36129;94709,51228
