Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-01-01 00:00:00,-4615.157996135413,4615.157996135413,4615.157996135413
2030-01-01 00:15:00,-4844.6611773460045,9459.819173481417,4844.6611773460045
2030-01-01 00:30:00,-5339.181328007351,14799.000501488768,5339.181328007351
2030-01-01 00:45:00,-4932.891156510219,19731.89165799899,4932.891156510219
2030-01-01 01:00:00,-5511.295955311301,25243.187613310292,5511.295955311301
2030-01-01 01:15:00,-5746.869460519376,30990.057073829666,5746.869460519376
2030-01-01 01:30:00,-5507.483358363212,36497.54043219288,5507.483358363212
2030-01-01 01:45:00,-5953.581944039312,42451.12237623219,5953.581944039312
2030-01-01 02:00:00,-5800.36389009871,48251.4862663309,5800.36389009871
2030-01-01 02:15:00,-6255.009606319027,54506.49587264993,6255.009606319027
2030-01-01 02:30:00,-5910.588269909213,56000.0,5910.588269909213
2030-01-01 02:45:00,-6203.231564940757,56000.0,0.0
2030-01-01 03:00:00,-5237.093823725207,56000.0,0.0
2030-01-01 03:15:00,-5010.335980437074,56000.0,0.0
2030-01-01 03:30:00,-4778.818762651845,56000.0,0.0
2030-01-01 03:45:00,-4642.044065667866,56000.0,0.0
2030-01-01 04:00:00,-4921.110092436866,56000.0,0.0
2030-01-01 04:15:00,-4791.692909041421,56000.0,0.0
2030-01-01 04:30:00,-4631.418139998435,56000.0,0.0
2030-01-01 04:45:00,-4598.85982223789,56000.0,0.0
2030-01-01 05:00:00,-5167.074417847767,56000.0,0.0
2030-01-01 05:15:00,-4872.990336715084,56000.0,0.0
2030-01-01 05:30:00,-4627.47487311264,56000.0,0.0
2030-01-01 05:45:00,-4698.153140856464,56000.0,0.0
2030-01-01 06:00:00,-5000.564030030417,56000.0,0.0
2030-01-01 06:15:00,-4805.6459061890055,56000.0,0.0
2030-01-01 06:30:00,-4859.640101514866,56000.0,0.0
2030-01-01 06:45:00,-4750.113982321727,56000.0,0.0
2030-01-01 07:00:00,-5135.639502237691,56000.0,0.0
2030-01-01 07:15:00,-4944.016948510274,56000.0,0.0
2030-01-01 07:30:00,-4915.428741824102,56000.0,0.0
2030-01-01 07:45:00,-4639.882436510841,56000.0,0.0
2030-01-01 08:00:00,-4566.566599548218,56000.0,0.0
2030-01-01 08:15:00,-4466.974546099567,56000.0,0.0
2030-01-01 08:30:00,-4326.717032983677,56000.0,0.0
2030-01-01 08:45:00,-4385.321344630083,56000.0,0.0
2030-01-01 09:00:00,-4511.969056726726,56000.0,0.0
2030-01-01 09:15:00,-4672.022498841281,56000.0,0.0
2030-01-01 09:30:00,-4711.992619456636,56000.0,0.0
2030-01-01 09:45:00,-4888.637417144442,56000.0,0.0
2030-01-01 10:00:00,-5510.630148096485,56000.0,0.0
2030-01-01 10:15:00,-5422.2452538655325,56000.0,0.0
2030-01-01 10:30:00,-5229.1318540429365,56000.0,0.0
2030-01-01 10:45:00,-5068.377720284971,56000.0,0.0
2030-01-01 11:00:00,-5059.613380367926,56000.0,0.0
2030-01-01 11:15:00,-4991.146967214103,56000.0,0.0
2030-01-01 11:30:00,-5128.578428636707,56000.0,0.0
